Host,Time Stamp,Method,Endpoint,Protocol,Status Code,Content Size
10.180.6.83,14/Feb/2023:13:30:25,GET,/assets/vendor/remixicon/remixicon.css,HTTP/1.1,200,110438.0
10.180.6.83,14/Feb/2023:13:30:25,GET,/assets/vendor/bootstrap/css/bootstrap.min.css,HTTP/1.1,200,161409.0
10.180.6.83,14/Feb/2023:13:30:25,GET,/assets/css/style.css,HTTP/1.1,200,35417.0
10.180.6.83,14/Feb/2023:13:30:25,GET,/js/multipage.js,HTTP/1.1,200,956.0
10.180.6.83,14/Feb/2023:13:30:25,GET,/assets/vendor/aos/aos.css,HTTP/1.1,200,26053.0
10.180.6.83,14/Feb/2023:13:30:25,GET,/assets/vendor/bootstrap/js/bootstrap.bundle.min.js,HTTP/1.1,200,84378.0
10.180.6.83,14/Feb/2023:13:30:25,GET,/js/jquery.js,HTTP/1.1,200,106323.0
10.180.6.83,14/Feb/2023:13:30:25,GET,/assets/vendor/jquery/jquery.min.js,HTTP/1.1,200,89476.0
10.180.6.83,14/Feb/2023:13:30:25,GET,/assets/vendor/jquery.easing/jquery.easing.min.js,HTTP/1.1,200,2532.0
10.180.6.83,14/Feb/2023:13:30:25,GET,/assets/vendor/php-email-form/validate.js,HTTP/1.1,200,5020.0
10.180.6.83,14/Feb/2023:13:30:25,GET,/assets/vendor/waypoints/jquery.waypoints.min.js,HTTP/1.1,200,9028.0
10.180.6.83,14/Feb/2023:13:30:25,GET,/assets/vendor/counterup/counterup.min.js,HTTP/1.1,200,2406.0
10.180.6.83,14/Feb/2023:13:30:25,GET,/assets/vendor/venobox/venobox.min.js,HTTP/1.1,200,15022.0
10.180.6.83,14/Feb/2023:13:30:25,GET,/assets/vendor/owl.carousel/owl.carousel.min.js,HTTP/1.1,200,44342.0
10.180.6.83,14/Feb/2023:13:30:25,GET,/assets/vendor/isotope-layout/isotope.pkgd.min.js,HTTP/1.1,200,35445.0
10.180.6.83,14/Feb/2023:13:30:25,GET,/assets/vendor/aos/aos.js,HTTP/1.1,200,14690.0
10.180.6.83,14/Feb/2023:13:30:25,GET,/assets/js/main.js,HTTP/1.1,200,6330.0
10.180.6.83,14/Feb/2023:13:30:25,GET,/hero.html,HTTP/1.1,200,6789.0
10.180.6.83,14/Feb/2023:13:30:25,GET,/faq.html,HTTP/1.1,200,4212.0
10.180.6.83,14/Feb/2023:13:30:25,GET,/about.html,HTTP/1.1,200,2729.0
10.180.6.83,14/Feb/2023:13:30:25,GET,/contact.html,HTTP/1.1,200,5487.0
10.180.6.83,14/Feb/2023:13:30:25,GET,/images/api_br.png,HTTP/1.1,200,1629.0
10.180.6.83,14/Feb/2023:13:30:25,GET,/images/api_y.png,HTTP/1.1,200,1636.0
10.180.6.83,14/Feb/2023:13:30:25,GET,/images/api_g.png,HTTP/1.1,200,1588.0
10.180.6.83,14/Feb/2023:13:30:25,GET,/images/api_p.png,HTTP/1.1,200,1642.0
10.180.6.83,14/Feb/2023:13:30:25,GET,/images/India_Map.png,HTTP/1.1,200,153088.0
10.180.6.83,14/Feb/2023:13:30:25,GET,/assets/vendor/remixicon/remixicon.woff2?t=1590207869815,HTTP/1.1,200,125268.0
10.180.6.83,14/Feb/2023:13:30:25,GET,/assets/vendor/boxicons/fonts/boxicons.woff2,HTTP/1.1,200,93260.0
10.180.6.83,14/Feb/2023:13:30:25,GET,/images/image1.jpg,HTTP/1.1,200,442343.0
10.180.6.83,14/Feb/2023:13:30:25,GET,/assets/vendor/icofont/fonts/icofont.woff2,HTTP/1.1,200,537868.0
159.223.98.198,14/Feb/2023:13:35:08,GET,/,HTTP/1.1,200,5952.0
141.98.10.56,14/Feb/2023:13:57:39,GET,/,HTTP/1.1,200,5952.0
89.248.165.249,14/Feb/2023:14:06:42,\x03\x00\x00/*\xE0\x00\x00\x00\x00\x00Cookie:,mstshash=Administr,,400,150.0
89.248.163.135,14/Feb/2023:15:12:22,"-""","""-",,400,150.0
185.189.182.234,14/Feb/2023:15:26:20,GET,/rFg=,HTTP/1.1,400,150.0
90.151.171.106,14/Feb/2023:15:46:30,CONNECT,checkip.amazonaws.com:443,HTTP/1.1,400,150.0
90.151.171.106,14/Feb/2023:15:46:30,\x04\x01\x00P6\xAB,L0\x00,,400,150.0
90.151.171.106,14/Feb/2023:15:46:30,GET,http://checkip.amazonaws.com?Z72549204420Q1,HTTP/1.1,400,248.0
90.151.171.106,14/Feb/2023:15:46:30,"-""","""-",,400,150.0
141.98.10.56,14/Feb/2023:15:50:58,GET,/,HTTP/1.1,200,5952.0
198.235.24.39,14/Feb/2023:15:58:39,GET,/,HTTP/1.1,200,5952.0
195.133.40.61,14/Feb/2023:16:33:11,GET,/explore,HTTP/1.1,404,548.0
10.180.6.239,14/Feb/2023:17:30:33,GET,/,HTTP/1.1,200,5952.0
10.180.6.239,14/Feb/2023:17:30:33,GET,/assets/vendor/venobox/venobox.css,HTTP/1.1,200,20309.0
10.180.6.239,14/Feb/2023:17:30:33,GET,/assets/vendor/icofont/icofont.min.css,HTTP/1.1,200,92208.0
10.180.6.239,14/Feb/2023:17:30:33,GET,/assets/vendor/owl.carousel/assets/owl.carousel.min.css,HTTP/1.1,200,3351.0
10.180.6.239,14/Feb/2023:17:30:33,GET,/assets/vendor/bootstrap/css/bootstrap.min.css,HTTP/1.1,200,161409.0
10.180.6.239,14/Feb/2023:17:30:33,GET,/assets/vendor/boxicons/css/boxicons.min.css,HTTP/1.1,200,63235.0
10.180.6.239,14/Feb/2023:17:30:33,GET,/assets/vendor/aos/aos.css,HTTP/1.1,200,26053.0
10.180.6.239,14/Feb/2023:17:30:33,GET,/js/jquery.js,HTTP/1.1,200,106323.0
10.180.6.239,14/Feb/2023:17:30:33,GET,/assets/vendor/remixicon/remixicon.css,HTTP/1.1,200,110438.0
10.180.6.239,14/Feb/2023:17:30:33,GET,/assets/css/style.css,HTTP/1.1,200,35417.0
10.180.6.239,14/Feb/2023:17:30:33,GET,/js/multipage.js,HTTP/1.1,200,956.0
10.180.6.239,14/Feb/2023:17:30:33,GET,/assets/vendor/jquery.easing/jquery.easing.min.js,HTTP/1.1,200,2532.0
10.180.6.239,14/Feb/2023:17:30:33,GET,/assets/vendor/bootstrap/js/bootstrap.bundle.min.js,HTTP/1.1,200,84378.0
10.180.6.239,14/Feb/2023:17:30:33,GET,/assets/vendor/php-email-form/validate.js,HTTP/1.1,200,5020.0
10.180.6.239,14/Feb/2023:17:30:33,GET,/assets/vendor/waypoints/jquery.waypoints.min.js,HTTP/1.1,200,9028.0
10.180.6.239,14/Feb/2023:17:30:33,GET,/assets/vendor/counterup/counterup.min.js,HTTP/1.1,200,2406.0
