Host,Date,Time,Method,Endpoint,Protocol,Status Code,Content Size,No of Requests
2050150420,16-Feb-23,14:14:55,4,/,HTTP/1.1,0,5952,282
2050150420,16-Feb-23,14:14:55,4,/assets/vendor/icofont/icofont.min.css,HTTP/1.1,0,92208,282
2050150420,16-Feb-23,14:14:56,4,/assets/vendor/bootstrap/css/bootstrap.min.css,HTTP/1.1,0,161409,282
2050150420,16-Feb-23,14:14:56,4,/assets/vendor/boxicons/css/boxicons.min.css,HTTP/1.1,0,63235,282
2050150420,16-Feb-23,14:14:56,4,/assets/vendor/remixicon/remixicon.css,HTTP/1.1,0,110438,282
2050150420,16-Feb-23,14:14:56,4,/assets/vendor/venobox/venobox.css,HTTP/1.1,0,20309,282
2050150420,16-Feb-23,14:14:56,4,/assets/vendor/owl.carousel/assets/owl.carousel.min.css,HTTP/1.1,0,3351,282
2050150420,16-Feb-23,14:14:56,4,/assets/vendor/aos/aos.css,HTTP/1.1,0,26053,282
2050150420,16-Feb-23,14:14:56,4,/assets/css/style.css,HTTP/1.1,0,35417,282
2050150420,16-Feb-23,14:14:56,4,/js/jquery.js,HTTP/1.1,0,106323,282
2050150420,16-Feb-23,14:14:56,4,/js/multipage.js,HTTP/1.1,0,956,282
2050150420,16-Feb-23,14:14:56,4,/assets/vendor/bootstrap/js/bootstrap.bundle.min.js,HTTP/1.1,0,84378,282
2050150420,16-Feb-23,14:14:56,4,/assets/vendor/jquery.easing/jquery.easing.min.js,HTTP/1.1,0,2532,282
2050150420,16-Feb-23,14:14:56,4,/assets/vendor/jquery/jquery.min.js,HTTP/1.1,0,89476,282
2050150420,16-Feb-23,14:14:56,4,/assets/vendor/php-email-form/validate.js,HTTP/1.1,0,5020,282
2050150420,16-Feb-23,14:14:56,4,/assets/vendor/waypoints/jquery.waypoints.min.js,HTTP/1.1,0,9028,282
2050150420,16-Feb-23,14:14:56,4,/assets/vendor/counterup/counterup.min.js,HTTP/1.1,0,2406,282
2050150420,16-Feb-23,14:14:56,4,/assets/vendor/venobox/venobox.min.js,HTTP/1.1,0,15022,282
2050150420,16-Feb-23,14:14:56,4,/assets/vendor/owl.carousel/owl.carousel.min.js,HTTP/1.1,0,44342,282
2050150420,16-Feb-23,14:14:56,4,/assets/vendor/aos/aos.js,HTTP/1.1,0,14690,282
2050150420,16-Feb-23,14:14:56,4,/assets/vendor/isotope-layout/isotope.pkgd.min.js,HTTP/1.1,0,35445,282
2050150420,16-Feb-23,14:14:56,4,/assets/js/main.js,HTTP/1.1,0,6330,282
2050150420,16-Feb-23,14:14:56,4,/js/multipage.js,HTTP/1.1,0,956,282
2050150420,16-Feb-23,14:14:56,4,/assets/vendor/jquery.easing/jquery.easing.min.js,HTTP/1.1,0,2532,282
2050150420,16-Feb-23,14:14:56,4,/assets/vendor/jquery/jquery.min.js,HTTP/1.1,0,89476,282
2050150420,16-Feb-23,14:14:56,4,/assets/vendor/php-email-form/validate.js,HTTP/1.1,0,5020,282
2050150420,16-Feb-23,14:14:56,4,/js/jquery.js,HTTP/1.1,0,106323,282
2050150420,16-Feb-23,14:14:57,4,/hero.html,HTTP/1.1,0,6789,282
2050150420,16-Feb-23,14:14:57,4,/contact.html,HTTP/1.1,0,5487,282
2050150420,16-Feb-23,14:14:57,4,/faq.html,HTTP/1.1,0,4212,282
2050150420,16-Feb-23,14:14:57,4,/about.html,HTTP/1.1,0,2729,282
2050150420,16-Feb-23,14:14:57,4,/images/api_br.png,HTTP/1.1,0,1629,282
2050150420,16-Feb-23,14:14:57,4,/images/api_p.png,HTTP/1.1,0,1642,282
2050150420,16-Feb-23,14:14:57,4,/images/api_y.png,HTTP/1.1,0,1636,282
2050150420,16-Feb-23,14:14:57,4,/images/India_Map.png,HTTP/1.1,0,153088,282
2050150420,16-Feb-23,14:14:57,4,/assets/vendor/boxicons/fonts/boxicons.woff2,HTTP/1.1,0,93260,282
2050150420,16-Feb-23,14:14:57,4,/images/api_g.png,HTTP/1.1,0,1588,282
2050150420,16-Feb-23,14:14:57,4,/assets/vendor/remixicon/remixicon.woff2?t=1590207869815,HTTP/1.1,0,125268,282
2050150420,16-Feb-23,14:14:57,4,/assets/vendor/icofont/fonts/icofont.woff2,HTTP/1.1,0,537868,282
2050150420,16-Feb-23,14:14:57,4,/images/image1.jpg,HTTP/1.1,0,442343,282
1113983446,16-Feb-23,14:15:12,4,/,HTTP/1.1,0,5952,1
2637312005,16-Feb-23,14:15:49,4,/,HTTP/1.1,0,5952,41
2637312005,16-Feb-23,14:15:51,4,/assets/vendor/bootstrap/css/bootstrap.min.css,HTTP/1.1,0,161409,41
2637312005,16-Feb-23,14:15:51,4,/assets/vendor/icofont/icofont.min.css,HTTP/1.1,0,92208,41
